time_slot,current_median,current_p25,current_p75,current_mean,current_std
07:30,0.15,0.15,0.15,0.15,0.0
07:40,0.15,0.15,0.15,0.15,0.0
07:50,0.925,0.9,0.9575,0.8083333333333332,0.32443283845299425
08:00,0.885,0.8725,0.89,0.8816666666666667,0.014719601443879755
08:10,0.875,0.87,0.8875,0.8883333333333333,0.03125166662222456
08:20,0.925,0.8925000000000001,0.9724999999999999,0.955,0.09934787365615827
08:30,0.96,0.9299999999999999,1.04,0.9,0.348759707152838
08:40,1.01,0.965,1.13,0.9971428571428571,0.4399134113934349
08:50,1.17,1.03,1.33,1.2485714285714287,0.340217017574987
09:00,1.2,1.08,1.3599999999999999,1.2957142857142858,0.38252917722517776
09:10,1.22,1.13,1.37,1.3628571428571428,0.4991564312489051
09:20,1.35,1.255,1.4849999999999999,1.57,0.6193275923666464
09:30,1.73,1.635,1.83,1.9342857142857144,0.6339783682654887
09:40,2.27,2.175,2.52,2.4771428571428573,0.5751148953532179
09:50,2.74,2.705,2.9749999999999996,2.834285714285714,0.2153181477765048
10:00,3.41,3.255,3.475,3.367142857142857,0.13634689651941556
10:10,4.01,3.94,4.08,3.904285714285714,0.4261399278350223
10:20,4.75,4.63,4.88,4.377142857142857,1.2050686603635814
10:30,5.36,5.0,5.49,4.735714285714286,1.5719293574336937
10:40,6.08,5.1850000000000005,6.2,5.2299999999999995,1.8469253729735082
10:50,6.82,6.195,6.880000000000001,5.832857142857143,2.206541141588756
11:00,7.27,6.945,7.465,6.622857142857143,2.616497113099333
11:10,7.86,7.050000000000001,7.965,6.772857142857143,2.4516369652792824
11:20,8.43,7.87,8.725,7.667142857142857,2.7735759967096287
11:30,8.99,8.665,9.26,7.962857142857142,2.8148636099919906
11:40,9.23,8.629999999999999,9.745000000000001,8.278571428571428,2.916610067478045
11:50,10.5,10.285,10.98,9.482857142857142,3.3184168629318522
12:00,10.96,10.7325,11.48,9.958333333333334,3.4673241363718312
12:10,11.59,11.02,11.885,10.447142857142856,3.211062722763885
12:20,11.96,11.370000000000001,12.305,10.612857142857143,3.818759459500403
12:30,12.16,6.615,13.07,9.56857142857143,5.000351416222093
12:40,12.21,6.525,13.04,9.40857142857143,4.975484661723681
12:50,5.39,4.555,9.75,7.027142857142857,4.857498376344606
13:00,5.47,3.975,7.9350000000000005,6.257142857142857,4.065372940193451
13:10,8.27,5.904999999999999,13.024999999999999,9.1,5.17484943420257
13:20,8.38,6.625,14.695,9.837142857142856,5.5729367311610325
13:30,5.93,5.12,11.785,8.072857142857142,5.1468913410126
13:40,7.95,6.775,15.465,10.308571428571428,5.746220289812045
13:50,5.7,4.78,10.4,7.724285714285714,4.419554491661111
14:00,6.13,5.25,10.41,7.897142857142858,4.71103567624542
14:10,8.54,4.51,13.5,8.790000000000001,5.373620753272416
14:20,9.27,7.445,15.059999999999999,10.631428571428572,4.917592326099662
14:30,10.49,7.2,15.129999999999999,10.742857142857144,4.876842264846226
14:40,8.68,6.66,13.24,9.562857142857142,4.646212487197554
14:50,6.97,5.935,11.165,8.487142857142857,4.757207564267489
15:00,7.64,5.765,13.55,9.054285714285713,5.068053068463461
15:10,9.89,5.605,12.555,9.008571428571429,4.770930826618737
15:20,6.12,4.779999999999999,10.465,7.7457142857142856,4.934159358130681
15:30,5.54,3.77,11.78,7.824285714285714,5.197617586108906
15:40,4.67,3.545,14.72,8.709999999999999,6.562253169961264
15:50,4.54,3.175,9.85,6.844285714285713,5.462526451935519
16:00,4.31,3.1849999999999996,9.49,6.71,5.159693143330651
16:10,6.1,4.245,12.01,7.887142857142857,4.9706529225234055
16:20,4.94,4.529999999999999,9.25,6.8342857142857145,4.535728008978114
16:30,5.47,5.12,9.395,7.052857142857143,4.104947073494429
16:40,5.04,4.055,8.92,6.659999999999999,4.2315678733380455
16:50,4.6,4.095000000000001,12.04,7.6085714285714285,4.33275289152839
17:00,10.7,5.449999999999999,11.135,8.481428571428571,3.62776987772299
17:10,10.25,6.1499999999999995,11.215,8.52,3.5691875826299735
17:20,7.17,3.31,10.885,6.96,4.20161476895094
17:30,6.66,2.42,8.31,5.718571428571429,3.7334185789587377
17:40,4.15,2.07,7.53,4.964285714285714,3.702214909766212
17:50,3.72,1.87,6.88,4.590000000000001,3.419220183999075
18:00,4.1,3.235,5.79,4.454285714285715,2.4019981761223796
18:10,3.11,2.01,5.305,3.8714285714285714,2.758679808479825
18:20,2.25,1.395,4.125,3.337142857142857,2.934323966922729
18:30,2.8,1.23,3.5300000000000002,3.1214285714285714,2.6645914544349227
18:40,2.16,1.19,2.34,2.4371428571428573,2.0681450165604462
18:50,1.57,1.21,1.69,1.8357142857142859,1.247448825174232
19:00,1.05,0.975,1.13,1.2099999999999997,0.4829423706130301
19:10,0.9,0.88,0.94,0.9085714285714286,0.040178174601214936
19:20,0.9,0.875,0.935,0.8914285714285715,0.05669467095138404
19:30,0.68,0.675,0.69,0.6828571428571429,0.01603567451474544
19:40,0.15,0.15,0.54,0.32666666666666666,0.27376388853657574
