time_slot,voltage_median,voltage_p25,voltage_p75,voltage_mean,voltage_std
07:30,247.9,245.5,248.9,247.8,2.5357444666211855
07:40,247.8,246.6,248.1,247.16666666666666,2.6120234812625047
07:50,247.35,245.825,248.875,247.4333333333333,2.0829466307773377
08:00,246.05,245.15,248.375,246.71666666666667,2.059530690877581
08:10,247.85,246.675,248.5,247.6,1.5556349186103935
08:20,246.6,245.29999999999998,248.575,247.0,2.2154006409676823
08:30,247.8,245.8,248.4,247.15714285714284,1.858186519932043
08:40,246.4,244.25,246.95,245.81428571428572,2.2116574263272653
08:50,246.5,244.60000000000002,247.14999999999998,245.81428571428572,1.7140872901037536
09:00,246.7,244.25,247.5,246.21428571428572,2.112998321050422
09:10,246.6,245.55,247.35,246.54285714285714,2.007367382798624
09:20,246.9,246.3,247.5,246.5,2.3671361036774736
09:30,246.3,245.4,248.25,246.45714285714286,2.915394280285912
09:40,247.1,246.2,247.6,246.72857142857143,1.9897355651059794
09:50,247.2,246.25,248.8,247.05714285714288,2.500571363280229
10:00,247.6,245.8,248.55,246.82857142857142,2.4492953311202776
10:10,247.9,245.75,248.0,247.0,1.5362291495737088
10:20,247.1,246.55,248.10000000000002,247.37142857142857,1.1898379241368484
10:30,247.7,246.6,248.55,247.65714285714284,1.7376777058832946
10:40,247.2,245.8,248.9,247.27142857142857,1.770794817508309
10:50,246.9,246.35000000000002,248.39999999999998,247.6,2.126812952126568
11:00,247.9,247.10000000000002,248.45,247.67142857142858,1.7764330231433678
11:10,247.1,245.4,249.25,247.44285714285712,2.4323220338167557
11:20,247.4,245.45,248.7,247.45714285714286,2.1884980716289903
11:30,247.7,246.6,249.4,248.12857142857143,1.9930832778338612
11:40,248.3,246.8,249.55,248.1142857142857,1.8959857343244657
11:50,247.3,246.15,250.3,248.08571428571426,2.8280903871862444
12:00,247.5,246.175,249.875,247.85,2.211560535006903
12:10,249.4,248.14999999999998,251.2,249.5,2.372762103540939
12:20,249.5,247.45,250.6,248.85714285714286,2.665118598272348
12:30,249.6,247.85,250.35,249.0,1.886796226411326
12:40,248.7,246.85,250.45,248.62857142857143,2.815264514342168
12:50,247.8,246.5,249.95,248.05714285714288,2.3344215149633576
13:00,248.8,244.75,249.55,247.4857142857143,3.0694345686833966
13:10,249.2,246.75,249.5,248.41428571428574,1.7458795027421659
13:20,248.1,246.45,248.95,247.85714285714286,2.314344502486709
13:30,248.0,246.25,249.14999999999998,247.6142857142857,2.321944997502867
13:40,248.8,248.55,251.0,249.41428571428574,2.055422561120204
13:50,249.2,246.85,249.9,248.35714285714286,1.9216808119084576
14:00,248.5,245.75,249.75,247.79999999999998,2.667083300786331
14:10,248.6,246.55,249.0,247.68571428571428,1.9692880028312796
14:20,248.0,247.45,249.95,248.54285714285714,2.2758567199021558
14:30,248.4,247.35,250.55,249.24285714285716,3.004916606084732
14:40,248.5,247.25,249.14999999999998,248.15714285714284,2.334421514963353
14:50,246.4,245.95,249.5,247.68571428571428,2.465379329453222
15:00,246.9,245.85000000000002,249.39999999999998,247.70000000000002,2.418677324489568
15:10,247.6,246.60000000000002,248.7,247.68571428571428,1.9385807277736002
15:20,246.9,246.39999999999998,248.45,247.18571428571428,2.2865028401677603
15:30,246.8,245.7,248.15,246.4857142857143,2.234896396874341
15:40,247.1,244.65,248.35,246.29999999999998,2.5514701644346056
15:50,245.8,245.10000000000002,247.55,246.25714285714284,1.9164699692030298
16:00,246.8,245.3,247.7,246.34285714285716,1.8017187561299584
16:10,247.2,244.3,248.05,246.62857142857143,2.809931366726643
16:20,245.7,244.7,247.7,246.3857142857143,2.2131640784395596
16:30,246.0,245.14999999999998,247.45,246.45714285714286,1.724197535915524
16:40,246.9,246.05,248.0,246.97142857142856,1.5085470777255365
16:50,247.0,246.39999999999998,248.0,247.29999999999998,1.3453624047073744
17:00,248.8,246.95,250.25,248.5142857142857,2.476172161104438
17:10,248.9,246.85000000000002,249.6,248.07142857142858,2.2859821271642304
17:20,248.0,247.1,249.60000000000002,248.0,1.995828983989694
17:30,246.9,246.45,249.0,247.41428571428574,2.5912857628524693
17:40,246.3,244.65,248.1,246.70000000000002,2.4324199198877428
17:50,246.6,245.45,248.0,246.9,2.483277404291893
18:00,247.9,246.10000000000002,248.7,247.62857142857143,2.241810492819193
18:10,247.3,245.60000000000002,248.8,247.44285714285712,2.2225039503955446
18:20,245.8,245.3,249.0,247.20000000000002,2.3036203390894547
18:30,246.0,245.3,248.65,246.9,2.036336579906836
18:40,247.6,246.85000000000002,248.5,247.54285714285714,1.7405527310379894
18:50,245.3,245.0,247.9,246.37142857142857,1.7230924580670697
19:00,245.8,244.5,247.60000000000002,246.04285714285714,1.7803156488453988
19:10,245.1,244.65,246.15,245.45714285714286,1.7290239470648785
19:20,245.5,243.85000000000002,245.95,245.28571428571428,1.9454464538408411
19:30,245.0,244.2,245.39999999999998,244.70000000000002,1.2922847983320045
19:40,246.05,244.725,247.375,246.08333333333334,2.2604571808965246
